"group","ID","baseMean","log2FoldChange","padj"
"H_vs_C","AluYa5",85.1095468942712,-2.59630325622035,8.67595174669931e-42
"H_vs_C","AluYb8",59.5885997331794,-2.77312425764383,5.7891205027424e-18
"H_vs_C","AluYb9",9.20095626867174,-2.2979850824666,0.00158587816308669
"H_vs_C","AmnSINE1",156.683959836926,2.21139681517945,2.93849872786752e-05
"H_vs_C","AmnSINE2",46.929850853419,4.72257280954065,4.68030616046456e-48
"H_vs_C","Charlie10a",52.9942827045532,2.34141344743826,4.91599657716271e-06
"H_vs_C","Charlie6",54.0257664942323,2.8825562044408,2.28608026563745e-24
"H_vs_C","DNA1_Mam",13.0237189338436,-1.70779752399547,0.000169991591999827
"H_vs_C","ERV3-16A3_I-int",811.78455327074,-1.61320362582816,3.65064309778028e-07
"H_vs_C","Eulor8",5.20415050729444,2.62210534926392,0.00372450655528039
"H_vs_C","Harlequin-int",546.682653099691,-2.60856603459226,1.38288852709854e-30
"H_vs_C","HERV-Fc1-int",11.4593050944906,-7.34152727696605,2.12842391486286e-09
"H_vs_C","HERV1_LTRb",3.41112721902965,3.51595957206167,0.00104892166792532
"H_vs_C","HERV1_LTRd",30.7158466165851,-2.81129052214762,1.5924594605056e-05
"H_vs_C","HERV15-int",48.497164607797,-2.40569317761129,2.1713940113918e-07
"H_vs_C","HERVE_a-int",235.557299710728,-1.54236631188479,3.55515448499363e-07
"H_vs_C","HERVP71A-int",22.2569507396132,-2.67262009075975,1.09688417839141e-07
"H_vs_C","HSMAR1",321.789542856086,2.31977887707532,2.4553771736002e-76
"H_vs_C","HUERS-P3-int",109.91338010608,2.05038450600194,1.74110293773802e-06
"H_vs_C","Kanga1",74.7189663726659,2.13344654683343,1.4517923291122e-12
"H_vs_C","L1HS",95.5918056975485,-3.67593550552409,3.23463841220288e-20
"H_vs_C","L1M3e",70.3950426053623,1.97743380868035,3.84561622933505e-08
"H_vs_C","L1MC4a",1711.09115180637,-1.67127572975335,7.18739646224627e-85
"H_vs_C","L1ME3C",493.747438410128,-2.10912055758306,2.28814100462179e-107
"H_vs_C","L1MEg1",68.1134979816159,1.55979551140434,4.52810144718307e-07
"H_vs_C","L1P1",481.981188728235,1.62735314399612,8.46271363283568e-32
