"group","external_gene_name","baseMean","log2FoldChange","padj"
"H_vs_C","ZNF496",221.168763296812,-1.51336115279285,1.79862526605515e-07
"H_vs_C","ZNF248",386.393425164638,1.63574929953799,2.44797075703847e-13
"H_vs_C","ZSCAN2",84.2754781120784,-2.91832914197442,1.66977511817262e-12
"H_vs_C","ZNF205",8.39145150698088,-4.85246118338489,8.04950465049725e-08
"H_vs_C","ZNF263",834.580358404368,1.56835068361342,1.68324316633563e-15
"H_vs_C","ZNF267",506.127476336228,-2.42816768958623,2.19036157697597e-41
"H_vs_C","PRDM7",44.8812581204835,5.7837646686233,2.25522816131552e-13
"H_vs_C","ZNF419",42.7385677639757,-3.20071984891852,1.80278125819453e-23
"H_vs_C","ZNF396",17.0874966555929,2.49132770691463,5.67920580426732e-05
"H_vs_C","ZNF177",85.4945872822567,4.02251063474419,1.40929111577265e-17
"H_vs_C","ZNF682",28.321664851638,-4.09492312495166,5.97673131778364e-10
"H_vs_C","ZNF728",18.7087714000228,7.22746193622843,3.40010339354057e-19
"H_vs_C","ZNF729",164.884047504604,13.7997886358536,1.28629864754235e-50
"H_vs_C","ZNF573",22.465202181833,1.79567023761331,0.00113675889527797
"H_vs_C","ZNF383",158.244252862995,2.33329134949286,1.84831705713304e-49
"H_vs_C","ZNF577",216.415023696829,2.55153450149301,3.65613722975677e-13
"H_vs_C","ZNF600",1587.70942835868,4.22430261824143,3.35909388691216e-43
"H_vs_C","ZNF444",135.96535561832,-4.81917649311445,3.33968092052976e-26
"H_vs_C","ZNF667",30.5373954122158,3.74660676697043,4.56687271255027e-14
"H_vs_C","ZNF551",236.28644692962,1.9894345131157,4.03911674532956e-12
"H_vs_C","ZNF606",72.4047550419142,-2.06090689015641,8.86199220467378e-10
"H_vs_C","MZF1",50.8500671871463,-1.56378070652138,8.98187541000953e-06
"H_vs_C","ZNF311",4.18515931425698,7.5362751873209,4.71268180803875e-07
"H_vs_C","ZNF92",109.329882859269,-1.97160168160399,8.1271634322571e-38
"H_vs_C","ZNF394",516.07369802384,1.6772923832023,1.30264378494922e-17
"H_vs_C","ZNF79",275.945624855948,2.21596690661958,7.0927921338536e-19
"H_vs_C","ZNF71",202.747651296183,1.96920665418479,0.000167215142457219
"H_vs_C","ZFP2",78.9738523718409,4.62970422187975,1.03318121158786e-08
"H_vs_C","ZNF69",22.7779930464703,2.3638081514544,1.01092928530093e-05
"H_vs_C","ZNF714",57.8591020136986,-2.34454477539168,1.17106095121998e-08
"H_vs_C","ZNF107",111.502229293755,-3.83276613279595,2.95767157596281e-43
"H_vs_C","ZNF417",494.423023222303,4.03900558976715,4.48513655704616e-33
"H_vs_C","ZNF587",566.770712847321,2.16887780777828,1.97719843320179e-14
"H_vs_C","ZNF471",46.3514344694115,4.05532376336163,5.48118035964246e-15
"H_vs_C","ZNF155",126.010057747935,1.57377206847808,7.06464448291825e-06
"H_vs_C","ZNF493",61.7559562911483,-3.98629599411376,4.16261918776462e-18
"H_vs_C","ZNF736",97.360785821139,-2.71311122833192,5.38532082809913e-23
"H_vs_C","ZNF324",68.5485968235707,-1.74438272740541,1.87977587283753e-12
"H_vs_C","ZNF561",125.132881385267,-1.51992731157899,4.77996159916422e-05
"H_vs_C","ZFP90",128.244745120504,-1.91925031507521,1.00043276078896e-17
"H_vs_O","ZNF37A",254.153104465883,-3.40371694977821,2.69774388337078e-55
"H_vs_O","ZNF214",68.711408765532,4.47359038944194,9.22595072082913e-13
"H_vs_O","ZNF26",172.42593764824,2.64719720190132,3.02846875772643e-29
"H_vs_O","ZSCAN2",87.6292364050489,-1.9173132319794,6.7774324798208e-08
"H_vs_O","ZNF263",1370.46397167122,2.57325275462955,1.48919378602078e-31
"H_vs_O","ZNF689",279.350482789014,2.12559311849577,8.18141128974357e-41
"H_vs_O","ZNF19",95.9020831095726,3.08118727406949,2.87219598391816e-14
"H_vs_O","ZNF720",88.2475426512923,-3.38049439308792,1.0326008502638e-36
"H_vs_O","ZNF232",156.924226707223,1.5995093333895,8.09913094035225e-13
"H_vs_O","ZNF397",84.8457972352376,-2.39897916946951,1.24685199395174e-21
"H_vs_O","ZNF557",188.729017071244,2.03851760209887,3.20221207585063e-08
"H_vs_O","ZNF700",59.741061292991,-1.98694980534306,9.8142403038439e-12
"H_vs_O","ZNF443",11.9194273600214,-2.53693860624405,2.86115010957347e-08
"H_vs_O","ZNF729",7.73842090027114,8.64170307216689,8.35197668284719e-08
"H_vs_O","ZNF792",53.8563931356358,1.62561408182644,0.00150016202526847
"H_vs_O","ZNF224",69.5908048582848,-3.05744352144671,2.9213783161654e-23
"H_vs_O","ZNF577",129.02012235051,1.73947629509906,2.03676004150019e-08
"H_vs_O","ZNF615",47.8379818602334,-1.83114365845404,5.69182801390988e-15
"H_vs_O","ZNF347",128.646674542179,3.17393323876634,3.36639164387855e-07
"H_vs_O","ZNF667",10.4955207652241,1.99910987242316,0.000119168759509662
"H_vs_O","ZNF552",28.0797354591316,-3.41750097824174,1.45153850502568e-27
"H_vs_O","ZNF606",68.6169878393475,-1.91594112417405,2.34794005740699e-07
"H_vs_O","ZSCAN18",108.04332081788,1.54440999310408,0.000644713631916916
"H_vs_O","ZNF430",79.0778206904791,-1.54359638331064,9.73364664143949e-05
"H_vs_O","ZNF74",98.397382443514,1.51481516150754,1.25068700862869e-06
"H_vs_O","ZNF589",100.872854010751,-13.0922182804967,7.54100980113731e-45
"H_vs_O","ZNF354C",27.3676551054417,1.86397417052702,0.0029259403543292
