	h1_1	h1_2	h1_3	h2_1	h2_2	h2_3	h3_1	h3_2	h3_3
RBM5	7.0714496394017	6.91405770985263	7.14147155884311	6.68150653950641	6.95143585578973	7.15076661085244	7.40646085250671	6.95222218259584	7.52798599289722
ARF5	5.53317708876896	5.79663484811772	5.87301008062498	5.64713186900149	5.82759801647309	5.65371119928071	5.77732413869091	5.95442982654749	5.88898016182845
SARM1	4.5074814742649	4.0699442377849	4.48051140336506	4.60855127934077	4.7552838116572	4.5067005897864	4.6555664197091	5.25233469222834	4.28394007009857
POLDIP2	6.90313561590654	7.09111826088931	6.97717813235902	7.3383530571132	7.34548024674613	7.55886351268652	7.58891356640341	7.23971891503988	7.38181402696526
AK2	7.75973683564086	7.76416543319084	7.72623342052063	8.27328929835847	8.2147154302945	8.26022733387739	7.95010487544428	7.78987184675676	7.71231910661658
CD38	2.58756938558759	2.67646288187251	2.57266884794577	3.52814977274657	3.14309984220102	3.1176582990405	4.01574198395343	2.73056601799438	4.21290073316672
FKBP4	7.59440596298425	7.58904779853934	7.52686515833264	8.06011676138244	8.27081172363445	8.31443018917137	7.5160697393024	7.68741922607672	7.52523974516272
KDM1A	6.56796034164906	6.5757259179566	6.46424203314183	6.93801023792513	6.96315720698953	6.95512104299507	7.01658051640417	6.62087372940729	6.68346017903569
RBM6	7.22030291153813	7.08268590667649	7.11351618884699	6.80901221764834	6.91166228126157	7.00425489576168	7.6267496194976	7.07498875066883	7.09253229501151
RECQL	6.20204366842529	6.21237524389811	6.11290240664633	6.8043109669191	6.71541208614286	6.71061359051519	6.54947916131941	6.9697894625571	6.60239806098969
CCDC132	5.15121565507166	5.04648526496092	4.73782460524021	5.07848593035809	5.07631275098982	5.01443757868173	5.4045402464442	5.28076310055486	5.39440966346661
ARHGAP33	2.7613364533243	2.98364439139068	2.96973980069516	3.10739862227333	3.14309984220102	2.94257159248241	3.54367353963821	2.64567712040786	3.27088391727312
NDUFAB1	4.84819729371429	5.02103463730396	4.99394214902079	5.39534303569803	5.39752111773011	5.41184140344496	2.67694007050167	5.50214980903016	4.90737671863436
SLC25A13	4.53167818469555	4.57299198679756	4.65929120269352	4.55917666836719	4.52161146545475	4.79143006671952	5.43496728019571	2.95883500566749	4.05937981207941
ST7	5.88270463458841	6.10594646010227	6.0831294833262	5.90380739894514	5.89849614177442	5.86489222866054	6.64150178973416	6.57569759085494	6.7334915306788
CDC27	6.88564112052159	6.86304580484906	6.50597971176471	7.17223403856965	6.67083747422923	6.88218240085014	6.31057641795852	7.16543249103514	6.81370475036721
HCCS	5.42430146604673	5.60653196473778	5.20216974474342	5.61259055880878	5.33273617027108	5.25828116463462	4.97835556806332	3.66737219150718	5.13578288373849
DVL2	5.91525674976364	5.77776348629159	5.70399101016433	5.68342799822448	5.95045476425863	5.75876387779919	5.89143062437743	4.69931508400994	5.57521795214575
UPF1	6.82940956915226	7.11386819417981	6.94167225035381	6.98342825417709	7.15592388255861	6.73544932973603	6.33229189911422	5.92771248817171	7.26156379529229
SKAP2	5.99791049020168	6.04727340758685	5.85843727953771	6.11216156829929	5.8944207293443	6.11937477162952	6.17894112220743	6.3661545917855	6.2499669497451
SLC25A5	7.30170497944393	7.50606021428641	7.45216111310162	8.22485620382151	8.38776948062625	8.36667013800743	7.73362559576022	8.21322994286939	7.86347685911866
CCDC109B	4.57306981589248	4.73045777151324	4.46520415057722	4.76190205624756	4.71887317146752	4.56831970805007	5.29821627061091	4.520146238324	3.81745103925727
DHX33	6.0301148416929	6.00408529781819	5.84667211716236	6.02796415477893	5.98152342204917	6.12280160231646	4.6555664197091	4.07701643201581	5.55740667602929
LIG3	4.21049973650777	4.37124866054642	4.27640113892921	4.90929085306031	5.12582185076919	4.84220463395264	5.53667581351339	3.75103012055409	4.57344668729356
RPAP3	5.05849664306272	4.98529036423424	4.71858838637729	5.91257094929909	5.62114713900567	5.63463396208557	5.54599859258445	5.70457080946143	5.64434231280057
ACSM3	3.63859338861206	4.05120767520332	3.93126565288053	3.75947531885302	3.70497872980914	3.83804100901111	3.63387134860978	5.54965023263409	2.05430882253199
AC004381.6	3.25840972146915	3.3329786436187	2.62870288286009	2.76432471851442	2.9045877555013	2.77845221272131	1.75940223069364	4.36946732582634	3.14296644235239
CIAPIN1	5.7574943870299	5.89972834108182	5.99793669252581	6.18449690670449	6.30996828521	6.4788919308624	6.44870139122953	6.24152793727176	6.19111946463527
SPPL2B	4.21797485706992	4.24503094434299	4.42621001896135	4.55358482012284	5.17368816203444	4.39776621823324	4.78718538720718	2.45926399617698	4.83825235797954
FAM214B	3.80666044383379	3.62248526081368	3.97515329688153	3.12258502608801	3.19703864931183	3.60308512621075	4.25054270905828	2.55547931143629	3.43594316354362
MSL3	7.13600601028363	6.82953537392492	7.22904060946817	6.96879739312811	7.13189271352132	7.26527512143353	7.66040317423684	7.98822324637372	7.39891730656015
CREBBP	6.85600377916398	7.29996209016601	6.64322821473664	6.65563950786848	6.3757605989913	6.12280160231646	5.64041419447656	5.90049101943669	6.11523304681293
BZRAP1	4.39986223046086	3.62248526081368	4.10921421961622	2.41552091763566	3.14309984220102	3.19782864772449	3.25623382113613	0.771208002491723	3.46680412724838
GCFC2	4.30477968460719	4.6288175096374	4.51808371018016	4.82360565627274	4.79954173134212	4.92304903421759	3.78324897264801	5.40218290096971	4.80844354876349
WDR54	4.50136835053829	4.61612509603424	4.70562025374899	4.49060003443017	4.37722155611958	4.29215603027264	4.71463236057362	3.97632243239633	4.00784951143933
CROT	3.84578677512361	3.85631575824443	3.68924442479515	4.12635677997721	4.12234128203422	4.68418355150498	4.18043847059393	5.28076310055486	4.4706157411984
ABCB4	3.96608100884132	4.27225241307802	4.18592039309835	3.63791333897211	3.46227732607235	3.90325866845759	4.59397862148627	5.14817746093705	2.9598441385285
KMT2E	7.01249147379828	7.01983055179167	6.59481688870769	6.28578024254167	5.9306915094372	6.01996162515337	6.87395434706175	6.57569759085494	6.4330158137921
RHBDD2	4.3733291600146	4.8254061755685	4.76932574845421	4.67186067089545	4.85930687620043	4.68418355150498	5.29268869664248	4.36946732582634	5.43789143533314
IBTK	6.36745942492764	6.53921404874745	6.2862340095319	6.75400018878687	6.62729936598726	6.50012793586292	5.80864574971349	6.68609138885377	6.93315848009442
ZNF195	5.61472343709132	5.44845586103863	5.64067552452617	5.2679637292218	5.14653074760129	5.42300350973226	5.56904532934652	5.13266446156572	5.59630522219858
MYCBP2	7.19968593781247	7.40883633940541	6.77166083670214	8.01199740637386	7.68329247280216	7.63643320784888	7.43684783015681	7.40379936617063	7.17076261552627
FBXL3	5.91755403534601	5.93251827619949	6.01905611875834	5.91257094929909	5.7440038867912	5.70032898825367	5.70426067650118	6.7279874738926	6.22536225190895
ITGAL	4.60762703792885	4.6288175096374	4.66600142428307	6.51310290386497	6.67796777724863	6.76864163062593	7.28644475548562	6.87973245926989	6.8315988717476
PDK2	1.99682453227243	1.27494652224728	2.10428192407399	3.45804553428222	3.54779539725841	3.48022837842521	3.59846601247858	3.21599284516462	2.61880722069343
ZFX	5.61755225180331	5.48846791284199	5.60968565668972	4.96511637590015	5.18707753926162	5.35469749634135	5.10359948942204	5.87274602895378	6.24552446727901
LAMP2	7.66583763272681	7.72381789511969	7.52778641956503	6.89333106558781	6.61744317024225	6.51585228815593	6.89781625939074	7.19187005096444	6.91088778155224
GGNBP2	6.45704601955299	6.661613360822	6.79174149871717	6.54867411016086	6.34920717994998	6.58456503823995	6.75840001110427	7.66062746187384	6.65359308506751
GDE1	5.52416021541153	5.39744617749686	5.18358404434339	5.68342799822448	5.55555879737809	5.45053669348841	6.13637168913897	5.77620868355009	5.62395052396939
OSBPL7	5.07916597999804	4.4400785125007	4.60445533661342	4.17815139519522	4.48955025622245	4.54807102420626	4.42236724341607	4.31552851871553	4.43203870908771
MAP3K14	6.44435593187567	6.59202159242462	6.28405471147265	6.14785506307022	6.32821124745801	5.93674251368021	6.22029038155046	5.22333482050579	6.35267800843677
CCL3	4.4828720069209	4.89009574356731	5.24313229252192	6.40546725297174	6.7698170887866	6.73991934118463	8.16577260557953	8.2002659720855	8.44493194677088
SYNRG	5.79045721905774	5.9308109445909	5.82284998596772	6.08140341374039	6.04540316831389	5.86079366044692	6.54017891934034	6.78863507424991	6.38130790696678
