	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
MIIP	5.32497797798063	5.25946223364792	5.13435447385568	4.62238720369374	5.3647811069959	4.93168559040062	4.71412140786199	4.20839862332775	4.8096682005798
TNFRSF8	5.58827118640564	5.53667240824608	5.34889903336944	4.36470603235415	4.61781412067219	4.48987686232613	6.08771963329416	6.66572462975831	6.74031491944093
TNFRSF1B	6.66327418961017	6.48776280776513	6.66135299324751	6.79290799083144	6.73714623695452	6.65927962121401	6.94389626433182	7.06770916885897	7.69539963205902
VPS13D	5.74273059172833	5.76181020632134	5.68440307753568	6.34045848610748	5.78913235741437	6.10583292968449	6.09997189411818	5.65868364437773	5.18690366714626
DHRS3	4.9187138256086	4.71912929823284	5.26241951264397	4.46381417736708	4.52275192370059	4.64984678312877	4.98906258037996	5.56538600917629	5.4647567876916
PRDM2	6.67915498970365	6.62073667303455	6.27811618953046	7.00933145437365	6.74099086292303	6.80615470831676	7.31887427434315	7.53878829696331	7.72354344628845
KAZN	3.55820033251783	2.87939570270903	2.9367731295105	5.06267749490449	5.00434519226204	5.36477312903618	2.82898536489399	2.27621400755532	1.73595851439679
CASP9	3.13077910878315	2.40471525700279	3.52483486889054	3.15083768332424	3.19858882442992	2.91428254413917	0.914715238919875	2.49439417760485	3.79298945943317
DNAJC16	5.25823348589904	5.30534686213962	5.02915518574395	5.64632186392967	5.67720952944596	5.47808043486229	5.42859464157955	4.98793365056241	5.36296278593487
PLEKHM2	7.65372294356212	7.64522784043065	7.52676851753933	7.61634097581366	7.77279362059963	7.81415271206992	6.87783362499606	7.24552710369765	6.90717567449323
SPEN	7.96553814126978	8.01559629037576	7.53370827189773	8.67666117053212	8.20590951087831	8.38038376097515	7.85903311329504	7.90289152743905	7.923230759403
ZBTB17	5.28721717356854	5.22273710411225	4.76655723280742	5.15455118612331	5.15602836220187	5.49222461718256	3.78413112910973	4.59814210244268	4.62096599210686
FBXO42	4.79859854190859	4.49987249004313	4.88706091702505	4.78454451789682	4.60098949803084	4.71562205077901	4.29109111782961	4.96071218182739	4.9666375469182
SZRD1	8.21090743987482	8.20233467819893	8.39979643422272	8.02716474746097	7.99592359896419	7.97051249347513	7.82806498525136	7.41555653096904	7.80759387234194
NECAP2	7.70235430304258	7.59582255362258	7.8358863745273	7.74998366479014	7.70650635700408	7.63239141479367	7.88227405645131	7.590022538698	7.9485529547281
ATP13A2	5.48642313050219	5.34981701085389	5.13029054147578	4.258283973218	4.24805750069422	4.36220833717688	4.50889626967041	4.0623835997223	4.16546649648397
SDHB	6.1839760676672	5.91106792302758	6.45912052533788	6.14524944506196	5.91016910017621	6.2570692439242	6.08771963329416	6.45429445774117	6.27161016444921
RCC2	7.55124757187606	7.39118529608904	7.74512496169016	7.23830052457458	7.1767560688514	7.03594178982433	7.11363244370189	6.68525851673953	6.84380834173041
ALDH4A1	7.12855650005378	6.94447833829385	7.34320446531657	5.34208772969213	5.43291427526234	5.29656029494137	5.27497145246634	5.84389851684464	5.79578267432485
IFFO2	6.5850328123391	6.44285038588956	6.74877441642447	3.86380779642147	3.89472070108755	3.69538756703895	4.85090014132243	5.06664562657646	4.55654926361109
UBR4	8.49903826004968	8.5909420707742	8.31237315734433	8.93597832948327	8.45736482238511	8.59054776110991	8.97707278327701	8.90497570183644	8.86623844146381
EMC1	6.05883431438971	5.96606520050199	6.10876502964573	6.24615313263287	6.15170243679908	6.15407801173707	6.57841017578683	6.64021462254647	6.29153720833685
MRTO4	6.30543426213786	6.49438068652964	6.99100544119421	5.83863722068656	6.35101124502249	5.90550165859696	6.27226724353796	5.94921654298956	6.50798036334211
AKR7A2	3.34196013816298	3.10371300096997	3.22289114845734	3.46978807841171	4.05154771366094	3.97597486654541	4.22550277620204	3.60401866877935	1.73595851439679
SLC66A1	2.47667044702123	2.61366214727428	2.50613877518064	2.27884529570031	2.87386209618988	2.56763201984058	1.7378374768358	3.45592002979022	3.19115314014762
CAPZB	8.57576336520767	8.48416540769813	8.79876050055597	8.78184592927501	8.65674900997101	8.50245135902981	8.47225257934276	8.36670454150323	8.32140571024795
MICOS10	5.58308629298707	4.99279709956812	5.51083556188204	4.4757373447429	4.91868060003173	4.61579930230109	5.19726909547309	5.44613900899763	5.88767071258107
TMCO4	3.50436218089028	3.52163300878194	3.71049727368682	2.16563468525232	2.33710868851135	2.1104250663178	0.914715238919875	2.63878408694003	2.39647204812512
MUL1	5.08199203537696	5.25946223364792	5.33484099238195	5.7032096834437	5.71679212315281	5.53839479861548	4.64890374841551	5.67552463375505	5.4647567876916
PINK1	6.0016904072861	5.92746236127824	6.21043339218412	5.91067440145944	5.92376350032495	5.63504978120069	4.96246837036824	5.83892370142935	6.34209503822236
HP1BP3	6.3242012915334	6.30660083444011	6.3945114439148	6.67891916211351	6.4459276028966	6.38891389994026	6.43586264204359	6.48964064763422	6.36484497151285
EIF4G3	7.52984915348902	7.58242600341169	7.28590094598314	7.40968294107254	6.95306205665776	7.06462137670467	7.27632165849927	6.97552086734147	7.2544530432527
