"geneName" "teName" "coef" "pvalue"
"1" "ZNF263" "ADORA1" 0.807819268550593 0.00844230917025885
"2" "ZNF263" "CNTN5" 0.864728622219362 0.00261948259889614
"3" "ZNF263" "ARHGAP32" 0.806109659003181 0.00869257278831549
"4" "ZNF263" "ATP2B1" -0.806113649787422 0.00869198281944089
"5" "ZNF263" "GPHN" -0.817156584970305 0.00716108508621328
"6" "ZNF263" "GAP43" 0.818364370312711 0.0070056783165314
"7" "ZNF263" "AP3B1" -0.821808547252013 0.00657512974886675
"8" "ZNF263" "WASF1" 0.891083697361091 0.00126024471342257
"9" "ZNF667" "ITM2C" -0.827989095050027 0.00584829614281933
"10" "ZNF667" "CHL1" 0.921076244595355 0.000420688321041483
"11" "ZNF667" "ROBO1" 0.811661082031061 0.00789781535036716
"12" "ZNF667" "CD200" -0.888130176961995 0.00137983406150062
"13" "ZNF667" "EMB" 0.854389336190235 0.0033540940330866
"14" "ZNF667" "SLC12A2" 0.877907738376344 0.00185453786995433
"15" "ZNF667" "ABHD17B" -0.836158739432208 0.00497432116692151
"16" "ZKSCAN3" "CELF4" -0.910604918434065 0.000643832070950031
"17" "ZKSCAN3" "NETO1" 0.863053798785604 0.00273008735139319
"18" "ZKSCAN3" "DNER" -0.867254829173605 0.00245855860078776
"19" "ZKSCAN3" "ATP6V1A" -0.849442586267465 0.00375103862573138
"20" "ZKSCAN3" "CLDN11" -0.87055441480396 0.00225882140545853
"21" "ZKSCAN3" "GABRA4" -0.873321674639962 0.00210019201807671
"22" "ZKSCAN3" "FZD3" -0.855537680778093 0.00326626519442079
"23" "ZKSCAN3" "EXT1" -0.830262515536575 0.00559535563226193
"24" "ZKSCAN3" "C9orf72" -0.807999128634053 0.00841626725698913
"25" "ZKSCAN3" "BMPR2" -0.838940026135896 0.00469845972123642
"26" "ZNF418" "SCYL3" -0.930866797967176 0.000267228631640913
"27" "ZNF418" "CHL1" 0.816181811589184 0.00728820490965664
"28" "ZNF418" "ROBO1" 0.845817369731292 0.0040616222066728
"29" "ZNF418" "CD200" -0.82684590243836 0.00597838434823254
"30" "ZNF418" "AP3B1" -0.870984033777549 0.00223366899826188
"31" "ZNF418" "SLC12A2" 0.923040186909616 0.000385931634992145
"32" "ZNF418" "ABHD17B" -0.814220416582217 0.00754861663881747
"33" "ZNF417" "CELF4" -0.837120857292514 0.00487767476687672
"34" "ZNF417" "WASF1" 0.828857390624019 0.0057507889014179
"35" "ZNF417" "FZD3" -0.809978645325655 0.00813323860116519
